## root: 318
## root: 7
## root: 17
## root: 31
## root: 32
## root: 256
## root: 44
## root: 32
## root: 32
## root: 45
## root: 32
## root: 541
## root: 55
## root: 320
## root: 306
## root: 64
## root: 550
## root: 7
## root: 68
## root: 55
## root: 55
## root: 81
## root: 85
## root: 88
## root: 89
## root: 90
## root: 90
## root: 290
## root: 55
## root: 90
## root: 90
## root: 32
## root: 89
## root: 88
## root: 527
## root: 98
## root: 98
## root: 303
## root: 45
## root: 45
## root: 64
## root: 64
## root: 32
## root: 104
## root: 104
## root: 561
## root: 530
## root: 323
# generated by egg 0.1.0
0,1,#(lambda (lambda (zip $1 $0 (lambda (lambda (+. $0 $1))))))
1,1,$0
2,1,@,0,1
3,1,$1
4,1,@,2,3
4,1,lib l50,723,731
5,1,lambda,4
5,1,lib l21,408,413
5,1,lib l22,418,433
5,1,lib l27,507,518
7,1,l21
8,1,power
9,1,#(lambda (fold $0 0. (lambda (lambda (+. (*. $1 $1) $0)))))
10,1,@,9,1
10,1,lib l39,215,617
11,1,@,8,10
11,1,lib l55,793,796
12,1,#(lambda (lambda (/. (*. $0 $1) (+. 1. 1.))))
13,1,1.
14,1,@,12,13
15,1,@,14,13
15,1,lib l54,712,786
16,1,@,11,15
17,1,lambda,16
18,1,+.
19,1,@,18,3
19,1,lib l31,567,570
20,1,*.
21,1,@,20,1
21,1,lib l33,270,576
22,1,@,21,1
22,1,lib l41,33,624
22,1,lib l43,639,645
22,1,lib l49,712,718
22,1,lib l54,712,788
23,1,@,19,22
23,1,@,116,3
23,1,lib l40,323,621
23,1,lib l51,742,747
23,1,lib l52,760,768
23,1,lib l56,804,810
23,1,lib l57,822,829
24,1,@,8,23
25,1,@,12,1
25,1,lib l37,609,611
26,1,#(lambda (/. 1. $0))
27,1,@,26,1
28,1,@,25,27
28,1,lib l46,677,680
28,1,lib l47,689,693
28,1,lib l53,773,776
29,1,@,24,28
30,1,lambda,29
31,1,lambda,30
32,1,l33
33,1,lambda,22
33,1,lib l15,329,331
33,1,lib l16,340,343
33,1,lib l20,399,401
33,1,lib l22,418,424
33,1,lib l26,487,493
33,1,lib l29,532,537
35,1,/.
36,1,#(lambda (lambda (#(lambda (fold $0 0. (lambda (lambda (+. $0 $1))))) (zip $0 $1 (lambda (lambda (*. $0 $1)))))))
37,1,@,36,1
38,1,@,37,3
38,1,lib l50,723,727
39,1,@,35,38
40,1,#(lambda (fold $0 0. (lambda (lambda (+. $0 $1)))))
41,1,@,40,3
42,1,@,39,41
43,1,lambda,42
43,1,lib l30,555,564
44,1,lambda,43
45,1,l2
