# generated from the tensat project
# ("Equality Saturation for Tensor Graph Superoptimization" by Yang, Phothilimthana, Wang, Willsey, Roy and Pienaar)
# network: bert
# node_limit: 50000
# iteration limit: 15
# multipatern iteration limit: 2
## root: 191
2081,0,Split([10; 2080]),10,2080
32295,0.5625920295715332,Matmul([0; 28; 32299]),0,28,32299
32295,0.5505920052528381,Matmul([0; 443; 32305]),0,443,32305
32295,0.5505920052528381,Matmul([0; 8729; 32311]),0,8729,32311
32295,0.5505920052528381,Matmul([0; 8807; 32315]),0,8807,32315
32295,0.5505920052528381,Matmul([0; 9023; 32317]),0,9023,32317
32295,0.5420160293579102,Matmul([0; 9059; 4299]),0,9059,4299
2184,0.5523520112037659,Matmul([0; 74; 2189]),0,74,2189
2184,0.00003199999991920777,Concat([10; 192; 455; 535]),10,192,455,535
157,0,Weight([156]),156
27109,0.3963199853897095,Matmul([0; 74; 2414]),0,74,2414
2769,0.00003199999991920777,Concat([10; 192; 100; 323]),10,192,100,323
5645,0.06892800331115723,Matmul([0; 3; 10944]),0,3,10944
5645,0.07011199742555618,Matmul([0; 29; 5644]),0,29,5644
5645,0.07011199742555618,Matmul([0; 52; 5649]),0,52,5649
29647,0.5625920295715332,Matmul([0; 74; 29651]),0,74,29651
29647,0.5505920052528381,Matmul([0; 463; 29653]),0,463,29653
29647,0.5420160293579102,Matmul([0; 8741; 3714]),0,8741,3714
37501,0.8015679717063904,Matmul([0; 51; 37505]),0,51,37505
37501,0.7773119807243347,Matmul([0; 453; 37507]),0,453,37507
37501,0.7639679908752441,Matmul([0; 8735; 6374]),0,8735,6374
5661,0,Split([10; 5660]),10,5660
6456,0,Split([10; 6455]),10,6455
32365,0.3963199853897095,Matmul([0; 143; 4309]),0,143,4309
5065,0.07017599791288376,Matmul([0; 3; 5064]),0,3,5064
1586,0,Split([10; 1585]),10,1585
830,0.03619199991226196,Matmul([0; 3; 829]),0,3,829
4841,0,Split([10; 4840]),10,4840
